Beryl,Beryl.1,Cosmos,Cosmos.1,# recordings,# neurons,# good neurons,canonical,stim_dec,stim_man,stim_euc,stim_glm,choice_dec,choice_man,choice_euc,choice_glm,fback_dec,fback_man,fback_euc,fback_glm,speed_dec,speed_glm,velocity_dec,velocity_glm,stim_dec_sig,stim_man_sig,stim_euc_sig,choice_dec_sig,choice_man_sig,choice_euc_sig,fback_dec_sig,fback_man_sig,fback_euc_sig,speed_dec_sig,velocity_dec_sig,prior_dec_ep,prior_dec_wf,prior_dec_ep_sig,prior_dec_wf_sig
CUN,Cuneiform nucleus,MB,Midbrain,11,1013,100,True,0.02,0.0,-0.51,-2.57,0.05,0.04,-0.34,-3.22,0.37,0.36,0.39,-1.8,0.09,-2.35,0.04,-3.02,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0081008901265806,,0.0,
RN,Red nucleus,MB,Midbrain,24,3768,429,True,0.06,0.0,-0.21,-2.47,0.15,0.08,-0.13,-2.85,0.29,0.23,0.12,-1.78,0.12,-2.19,0.19,-2.62,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.040911637599294,,1.0,
III,Oculomotor nucleus,MB,Midbrain,3,47,7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA3,Medial accesory oculomotor nucleus,MB,Midbrain,1,6,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,Edinger-Westphal nucleus,MB,Midbrain,2,3,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa4,Paratrochlear nucleus,MB,Midbrain,1,67,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTN,Ventral tegmental nucleus,MB,Midbrain,2,130,11,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.473189833011705e-05,,0.0,
AT,Anterior tegmental nucleus,MB,Midbrain,4,218,23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,Dorsal terminal nucleus of the accessory optic tract,MB,Midbrain,3,54,9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003998346800157,,0.0,
MT,Medial terminal nucleus of the accessory optic tract,MB,Midbrain,2,25,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNc,Substantia nigra compact part,MB,Midbrain,9,163,36,True,0.05,0.04,-0.15,-2.68,0.15,0.0,-0.35,-3.06,0.34,0.15,0.49,-1.88,0.05,-2.78,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.063017236353683,,0.0,
PPN,Pedunculopontine nucleus,MB,Midbrain,19,2977,369,True,0.04,0.0,-0.8,-2.5,0.13,0.03,-0.91,-3.16,0.28,0.17,0.1,-2.02,0.09,-2.48,0.12,-3.27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0673229220416265,,1.0,
IF,Interfascicular nucleus raphe,MB,Midbrain,1,127,18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0027543643165866,,0.0,
IPN,Interpeduncular nucleus,MB,Midbrain,3,561,10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0364291841464828,,0.0,
RL,Rostral linear nucleus raphe,MB,Midbrain,1,40,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0461209590592965,,0.0,
CLI,Central linear nucleus raphe,MB,Midbrain,6,361,89,True,0.01,0.0,-0.74,-2.57,0.08,0.09,-0.26,-2.93,0.23,0.25,0.12,-1.77,0.19,-1.89,0.1,-2.68,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0086357165923319,,0.0,
DR,Dorsal nucleus raphe,MB,Midbrain,2,370,42,True,0.02,0.0,-0.56,-3.35,0.04,0.0,-0.55,-3.22,0.23,0.14,-0.24,-2.33,0.08,-2.73,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0811355945210437,,0.0,
NLL,Nucleus of the lateral lemniscus,HB,Hindbrain,8,1868,184,True,0.01,0.0,-0.76,-2.94,0.07,0.03,-0.72,-3.2,0.29,0.16,0.2,-1.89,0.06,-2.55,0.0,-3.36,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0105192019335477,,0.0,
PSV,Principal sensory nucleus of the trigeminal,HB,Hindbrain,8,1443,115,True,0.01,0.0,-0.62,-2.56,0.09,0.02,-0.59,-3.35,0.23,0.27,0.19,-1.99,0.07,-2.17,0.07,-3.16,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0216067882377178,,0.0,
PB,Parabrachial nucleus,HB,Hindbrain,28,3464,306,True,0.02,0.0,-0.72,-2.77,0.06,0.04,-0.96,-3.03,0.18,0.23,-0.24,-2.03,0.06,-2.32,0.03,-3.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0238511121090262,,1.0,
SOC,Superior olivary complex,HB,Hindbrain,9,1139,35,True,0.01,0.0,0.24,-2.57,0.06,0.16,-0.01,-2.93,0.27,0.32,0.54,-1.65,0.04,-2.56,0.01,-2.43,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0270443932124851,,0.0,
DTN,Dorsal tegmental nucleus,HB,Hindbrain,3,164,21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006266973328708,,0.0,
PDTg,Posterodorsal tegmental nucleus,HB,Hindbrain,2,194,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240902250942922,,0.0,
PCG,Pontine central gray,HB,Hindbrain,9,1048,82,True,0.01,0.0,-0.59,-2.8,0.03,0.06,-0.34,-3.17,0.23,0.28,-0.06,-1.83,0.05,-3.2,0.08,-2.95,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0179827005538302,,0.0,
PG,Pontine gray,HB,Hindbrain,4,140,9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0154756597748674,,0.0,
PRNc,Pontine reticular nucleus caudal part,HB,Hindbrain,11,1985,280,True,0.11,0.01,-0.0,-2.21,0.12,0.1,-0.33,-2.82,0.17,0.26,-0.03,-1.7,0.13,-2.04,0.01,-2.41,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.106630991685624,,1.0,
SUT,Supratrigeminal nucleus,HB,Hindbrain,14,1430,103,True,0.0,0.0,-0.26,-2.5,0.04,0.05,-0.22,-2.87,0.15,0.2,0.22,-1.57,-0.01,-2.28,0.03,-2.79,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0218143526919909,,0.0,
TRN,Tegmental reticular nucleus,HB,Hindbrain,10,1463,193,True,0.09,0.01,-0.08,-2.34,0.2,0.11,-0.11,-2.84,0.25,0.27,0.35,-1.65,0.11,-2.28,0.18,-2.65,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0045037611042302,,0.0,
V,Motor nucleus of trigeminal,HB,Hindbrain,10,1678,166,True,0.01,0.0,-0.08,-2.35,0.05,0.04,-0.56,-2.61,0.4,0.26,0.25,-1.53,0.04,-2.23,0.11,-2.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0125529019768872,,0.0,
P5,Peritrigeminal zone,HB,Hindbrain,6,485,46,True,-0.01,0.0,-0.61,-3.02,0.02,0.0,-0.67,-3.23,0.08,0.09,0.09,-2.29,-0.02,-2.59,0.01,-3.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.025105392382508,,0.0,
PC5,Parvicellular motor 5 nucleus,HB,Hindbrain,5,306,35,True,0.02,0.0,-0.6,-2.56,0.06,0.03,-0.56,-2.9,0.21,0.21,-0.16,-2.37,-0.04,-2.97,0.08,-3.94,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0017175863962382,,0.0,
I5,Intertrigeminal nucleus,HB,Hindbrain,4,366,42,True,-0.04,0.0,-0.56,-2.6,0.06,0.0,-0.41,-2.83,0.37,0.33,0.41,-1.66,0.14,-2.29,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0172556869436326,,0.0,
CS,Superior central nucleus raphe,HB,Hindbrain,11,2359,391,True,0.04,0.01,-0.6,-2.71,0.16,0.04,-0.79,-3.02,0.28,0.11,-0.28,-2.1,0.12,-2.88,0.15,-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0153366849629001,,0.0,
LC,Locus ceruleus,HB,Hindbrain,1,2,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDT,Laterodorsal tegmental nucleus,HB,Hindbrain,2,567,51,True,0.04,0.0,-0.52,-3.24,0.15,0.02,-0.62,-3.21,0.32,0.2,0.24,-2.28,0.1,-2.49,0.15,-3.02,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0288710173813429,,0.0,
NI,Nucleus incertus,HB,Hindbrain,6,373,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416856466871968,,0.0,
PRNr,Pontine reticular nucleus,HB,Hindbrain,28,7039,770,True,0.07,0.01,-0.35,-2.42,0.24,0.1,-0.32,-2.95,0.26,0.17,0.42,-1.87,0.15,-2.35,0.31,-2.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0661271025655474,,1.0,
AP,Area postrema,HB,Hindbrain,1,183,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCO,Dorsal cochlear nucleus,HB,Hindbrain,16,1791,312,True,0.03,0.0,-0.71,-2.6,0.09,0.03,-0.45,-3.14,0.38,0.31,-0.1,-1.89,0.1,-2.26,0.06,-2.94,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0282077748960197,,1.0,
VCO,Ventral cochlear nucleus,HB,Hindbrain,6,850,141,True,0.01,0.0,-0.4,-2.66,0.1,0.02,-0.66,-3.09,0.46,0.3,0.25,-1.93,0.16,-2.22,0.1,-2.81,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0867623120214848,,0.0,
CU,Cuneate nucleus,HB,Hindbrain,4,500,24,True,0.0,0.0,-0.56,-2.86,0.06,0.09,-0.57,-3.26,0.11,0.04,0.02,-1.64,-0.0,-5.0,0.02,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0054293898238225,,0.0,
GR,Gracile nucleus,HB,Hindbrain,1,32,9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0040298815803102,,0.0,
ECU,External cuneate nucleus,HB,Hindbrain,5,492,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0308345866271608,,1.0,
NTS,Nucleus of the solitary tract,HB,Hindbrain,21,1419,124,True,-0.01,0.0,-0.81,-2.89,0.1,0.08,-0.61,-3.13,0.23,0.17,0.21,-1.91,0.08,-2.25,0.05,-2.65,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0345459029132767,,1.0,
SPVC,Spinal nucleus of the trigeminal caudal part,HB,Hindbrain,5,590,42,True,0.03,0.0,-0.5,-2.89,0.04,0.0,-0.47,-3.38,0.27,0.19,-0.04,-1.96,0.05,-2.32,0.04,-3.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.8116829087370755,,0.0,
SPVI,Spinal nucleus of the trigeminal interpolar part,HB,Hindbrain,16,4127,321,True,0.01,0.0,-0.76,-2.62,0.1,0.02,-0.74,-3.04,0.26,0.22,-0.19,-2.05,0.11,-2.35,0.09,-3.11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0121075147090486,,0.0,
SPVO,Spinal nucleus of the trigeminal oral part,HB,Hindbrain,8,1539,129,True,0.01,0.0,-0.63,-2.69,0.07,0.01,-0.61,-3.18,0.19,0.16,0.07,-1.97,0.07,-2.25,0.07,-2.35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0338106321345184,,0.0,
Pa5,Paratrigeminal nucleus,HB,Hindbrain,2,75,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VII,Facial motor nucleus,HB,Hindbrain,6,861,63,True,0.0,0.0,-0.31,-2.45,0.24,0.16,-0.19,-2.77,0.18,0.24,0.3,-1.56,0.1,-1.69,0.11,-2.32,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0069975975513026,,0.0,
AMB,Nucleus ambiguus,HB,Hindbrain,2,73,8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0379847719248332,,0.0,
DMX,Dorsal motor nucleus of the vagus nerve,HB,Hindbrain,3,62,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRN,Gigantocellular reticular nucleus,HB,Hindbrain,17,3921,560,True,0.08,0.01,-0.0,-2.32,0.28,0.21,0.09,-2.71,0.42,0.39,0.16,-1.69,0.27,-1.75,0.45,-2.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0501896116562175,,1.0,
ICB,Infracerebellar nucleus,HB,Hindbrain,8,249,65,True,-0.02,0.0,-0.39,-2.91,-0.01,0.02,-0.55,-2.95,0.2,0.16,0.04,-1.67,0.09,-1.96,0.06,-4.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0225630497853915,,0.0,
IO,Inferior olivary complex,HB,Hindbrain,4,100,2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Intermediate reticular nucleus,HB,Hindbrain,34,6481,744,True,0.01,0.0,-0.28,-2.47,0.17,0.13,-0.23,-2.97,0.42,0.32,0.31,-1.75,0.15,-2.1,0.2,-2.48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034349994738821,,1.0,
ISN,Inferior salivatory nucleus,HB,Hindbrain,1,14,4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN,Linear nucleus of the medulla,HB,Hindbrain,2,61,11,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0198203165092927,,0.0,
LRN,Lateral reticular nucleus,HB,Hindbrain,5,372,31,True,-0.0,0.0,-0.21,-2.9,0.07,0.0,-0.36,-2.82,0.25,0.29,0.13,-2.24,0.14,-2.17,0.13,-2.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0046499518966583,,0.0,
MARN,Magnocellular reticular nucleus,HB,Hindbrain,5,449,83,True,0.06,0.0,-0.53,-2.47,0.21,0.09,-0.67,-3.03,0.44,0.29,0.31,-1.89,0.28,-1.82,0.42,-2.63,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0578047011393153,,1.0,
MDRN,Medullary reticular nucleus,HB,Hindbrain,9,2310,180,True,0.02,0.0,-0.66,-2.23,0.09,0.05,-0.23,-2.67,0.36,0.1,0.05,-1.48,0.16,-2.13,0.08,-3.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020555689362282,,0.0,
PARN,Parvicellular reticular nucleus,HB,Hindbrain,21,2560,423,True,0.01,0.0,-0.87,-2.64,0.11,0.05,-0.43,-2.84,0.41,0.26,0.14,-1.91,0.1,-2.33,0.17,-2.72,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0088357855178708,,0.0,
PAS,Parasolitary nucleus,HB,Hindbrain,2,6,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGRN,Paragigantocellular reticular nucleus,HB,Hindbrain,13,1166,120,True,0.07,0.0,-0.23,-2.5,0.17,0.07,-0.29,-2.75,0.24,0.26,0.09,-2.13,0.13,-2.04,0.25,-2.37,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060105269336056,,1.0,
PRP,Nucleus prepositus,HB,Hindbrain,9,957,70,True,0.03,0.01,-0.26,-2.69,0.06,0.0,-0.49,-3.35,0.19,0.1,0.06,-2.22,0.1,-2.3,0.05,-2.83,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026564587621305,,1.0,
LAV,Lateral vestibular nucleus,HB,Hindbrain,12,840,169,True,0.0,0.0,-0.54,-2.71,0.11,0.05,-0.65,-3.02,0.25,0.28,0.0,-1.9,0.12,-2.03,0.1,-2.79,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0233317248555743,,0.0,
MV,Medial vestibular nucleus,HB,Hindbrain,24,5268,672,True,0.03,0.0,-0.8,-2.68,0.16,0.09,-0.27,-2.94,0.34,0.29,0.2,-1.81,0.16,-2.26,0.21,-2.72,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0302964330334899,,1.0,
SPIV,Spinal vestibular nucleus,HB,Hindbrain,19,2162,327,True,-0.0,0.0,-0.55,-2.6,0.14,0.1,-0.52,-3.04,0.25,0.15,-0.15,-1.95,0.04,-2.01,0.17,-2.54,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0153636120253547,,1.0,
SUV,Superior vestibular nucleus,HB,Hindbrain,13,1502,277,True,0.01,0.0,-0.26,-2.72,0.06,0.06,-0.34,-2.97,0.26,0.22,-0.01,-1.88,0.15,-2.09,0.13,-2.67,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0170788482135773,,0.0,
x,Nucleus x,HB,Hindbrain,4,344,45,True,0.03,0.0,-0.51,-2.5,0.01,0.0,-0.53,-2.78,0.13,0.02,0.13,-1.68,0.05,-2.24,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0239102504524097,,0.0,
XII,Hypoglossal nucleus,HB,Hindbrain,2,347,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0084825669103971,,0.0,
y,Nucleus y,HB,Hindbrain,1,18,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0057077544191092,,0.0,
RM,Nucleus raphe magnus,HB,Hindbrain,1,12,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Nucleus raphe obscurus,HB,Hindbrain,1,81,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LING,Lingula (I),CB,Cerebellum,8,216,45,True,0.05,0.0,-0.47,-3.21,0.11,0.08,-0.27,-2.99,0.21,0.38,-0.1,-2.55,0.07,-2.62,0.1,-3.02,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0240683057615466,,1.0,
CENT2,Lobule II,CB,Cerebellum,17,4105,613,True,0.02,0.0,-0.95,-2.7,0.21,0.06,-0.7,-2.83,0.27,0.25,0.05,-2.05,0.16,-2.55,0.23,-2.87,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0188392884042864,,0.0,
CENT3,Lobule III,CB,Cerebellum,29,4549,663,True,0.02,0.0,-0.59,-2.53,0.08,0.06,-0.26,-2.98,0.19,0.15,0.07,-1.78,0.12,-2.17,0.17,-2.64,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0443308202110894,,1.0,
CUL4 5,Lobules IV-V,CB,Cerebellum,36,9036,1207,True,0.03,0.0,-0.86,-2.78,0.11,0.05,-0.45,-3.12,0.3,0.21,0.08,-1.95,0.16,-2.17,0.23,-2.81,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0464690809591064,,1.0,
DEC,Declive (VI),CB,Cerebellum,8,1780,190,True,-0.01,0.0,-0.86,-2.78,0.03,0.09,-0.55,-3.07,0.33,0.19,0.04,-1.97,0.07,-2.55,0.09,-2.71,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0081850921128203,,0.0,
FOTU,Folium-tuber vermis (VII),CB,Cerebellum,7,594,100,True,0.01,0.0,-0.58,-2.66,0.18,0.11,-0.2,-2.91,0.24,0.12,0.03,-1.97,0.15,-2.16,0.29,-2.64,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0514282192007018,,1.0,
PYR,Pyramus (VIII),CB,Cerebellum,7,1043,207,True,0.02,0.0,-0.87,-2.49,0.17,0.06,-0.35,-2.95,0.13,0.08,-0.18,-1.79,0.12,-2.15,0.12,-3.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0127639079224001,,0.0,
UVU,Uvula (IX),CB,Cerebellum,11,2273,245,True,0.03,0.0,-0.62,-2.21,0.04,0.01,-0.46,-2.7,0.16,0.08,0.07,-1.36,0.1,-2.57,0.05,-4.11,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0175323968923398,,0.0,
NOD,Nodulus (X),CB,Cerebellum,10,1282,165,True,-0.04,0.0,-0.27,-2.71,0.04,0.08,-0.3,-2.92,0.21,0.22,-0.03,-1.9,0.02,-2.14,0.03,-2.92,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0164518408930013,,0.0,
SIM,Simple lobule,CB,Cerebellum,23,6301,893,True,0.02,0.0,-0.54,-2.78,0.17,0.1,-0.44,-2.9,0.39,0.24,0.18,-1.94,0.15,-2.19,0.21,-2.77,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0275922565214171,,1.0,
ANcr1,Crus 1,CB,Cerebellum,12,3321,421,True,0.01,0.01,-0.32,-2.47,0.11,0.04,-0.3,-2.86,0.27,0.19,-0.25,-1.85,0.08,-2.48,0.08,-5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0499546766892486,,1.0,
ANcr2,Crus 2,CB,Cerebellum,19,4383,519,True,-0.01,0.0,-0.71,-2.47,0.07,0.01,-0.54,-3.09,0.41,0.24,0.15,-1.72,0.11,-2.37,0.08,-5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0070462305548661,,0.0,
PRM,Paramedian lobule,CB,Cerebellum,19,3959,382,True,0.02,0.0,-0.19,-2.56,0.09,0.06,-0.45,-3.0,0.36,0.31,0.14,-1.97,0.15,-2.06,0.11,-2.88,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0047994742285247,,0.0,
COPY,Copula pyramidis,CB,Cerebellum,17,3287,284,True,0.02,0.0,-0.69,-2.69,0.06,0.07,-0.48,-3.05,0.25,0.14,-0.06,-2.12,0.11,-2.05,0.12,-2.78,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0398944015493034,,1.0,
PFL,Paraflocculus,CB,Cerebellum,8,1409,133,True,0.02,0.0,-0.56,-2.62,0.08,0.04,-0.33,-3.16,0.3,0.14,0.08,-2.32,0.14,-2.6,0.15,-3.4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0004077577897183,,0.0,
FL,Flocculus,CB,Cerebellum,5,469,39,True,0.03,0.0,-0.45,-2.97,0.02,0.0,-0.36,-3.25,0.14,0.17,0.01,-2.16,0.04,-2.21,0.07,-3.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0801662389350504,,0.0,
FN,Fastigial nucleus,CB,Cerebellum,5,242,46,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008701244579207,,0.0,
IP,Interposed nucleus,CB,Cerebellum,31,2767,619,True,0.02,0.01,-0.32,-2.64,0.12,0.05,-0.39,-2.98,0.35,0.31,0.05,-1.85,0.17,-2.17,0.17,-2.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0258782258847934,,1.0,
DN,Dentate nucleus,CB,Cerebellum,10,731,197,True,0.03,0.0,-0.22,-2.57,0.15,0.09,-0.45,-3.1,0.41,0.33,0.48,-1.71,0.14,-2.19,0.33,-2.56,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0784057314703366,,1.0,
VeCB,Vestibulocerebellar nucleus,CB,Cerebellum,6,427,70,True,0.02,0.0,-0.03,-2.58,0.1,0.03,-0.51,-3.09,0.25,0.24,0.14,-1.9,0.18,-2.08,0.16,-2.46,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0362787716234714,,0.0,
